date,latitude,longitude,magnitude,depth_km,region,seismic_station_reading,warning_issued
2024-01-01,-22.58277860747475,146.97571894799535,2.310090327011646,,South America,,1
2024-01-02,81.12857515378491,-93.75771935988992,5.188127789408888,391.32457056532775,Europe,4.666870277058977,0
2024-01-03,41.75890952605292,-127.83784604715969,5.243810729660639,297.5311844636364,North America,1.67114674158162,0
2024-01-04,17.758527155466595,-3.797006300077328,5.824579408989239,634.5417151812204,Europe,3.0100271780337047,0
2024-01-05,-61.91664472036143,174.83416347981623,6.35654800233597,78.72704013199979,South America,1.9092293593984917,1
2024-01-06,-61.92098633948352,-92.86010225585986,7.855112476775208,345.34494789931057,Oceania,2.3259130638735885,0
2024-01-07,-79.5449498097241,61.96879706611628,5.097802089807172,,South America,2.788155277896951,1
2024-01-08,65.91170623948832,94.18306151833832,3.937738837647476,328.5937887538943,Oceania,,0
2024-01-09,18.20070211377758,-94.45048416273612,6.771117168612222,40.35598970160431,Asia,,0
2024-01-10,37.45306400328819,82.15788550026946,3.624993507572445,84.05372347138227,South America,3.454400584611184,0
2024-01-11,-86.29479102675556,-47.59807222106883,4.633828524233817,83.15084649719631,Asia,0.5305537450890184,1
2024-01-12,84.58377338915898,47.63009901368861,2.470738288053596,454.7980011791285,North America,0.7802413898658999,0
2024-01-13,59.83967534407592,48.07069587392209,2.152104460492745,522.4853706065309,Europe,0.1132834071302154,1
2024-01-14,-51.77896007791029,12.878886266913042,7.77589048806755,408.7747668029146,Oceania,0.6718107142942384,1
2024-01-15,-57.27150590272189,-147.495682780413,7.015880723073235,673.5586113837048,Europe,2.418514385154272,1
2024-01-16,-56.98718822638191,120.70889841212568,6.175845236562187,263.0345350870691,Asia,3.0698992171736097,0
2024-01-17,-35.23639626728321,-64.5191766101751,4.45371766648562,200.71274831102065,Oceania,3.9920183048356654,0
2024-01-18,4.456157693802808,-112.85333625605249,3.039765920425075,608.1507906044327,Europe,,0
2024-01-19,-12.249896644419168,-165.320949040285,2.938622256026516,,South America,,0
2024-01-20,-37.57875476435245,32.72145954776704,3.501457388987572,674.2925550689873,Africa,3.7552751751887192,1
2024-01-21,20.133521050028307,63.923170263221664,5.295359988236723,,Asia,2.101739635385993,1
2024-01-22,-64.89110508263246,-174.02838158597177,6.287575536200374,,Europe,4.671396528789778,1
2024-01-23,-37.41396326366073,4.353500987741143,5.961184260306387,31.168778453452703,Asia,4.955554434641214,0
2024-01-24,-24.0548682071355,-98.46152092874232,3.679603381675657,623.9090364749517,Asia,,1
2024-01-25,-7.907402840933528,52.26220454740195,7.729191683979165,369.8630752513236,Oceania,,0
2024-01-26,51.33167305074244,-117.22808555820308,6.427381500174612,695.082392487391,Oceania,4.639602175589585,1
2024-01-27,-54.05871921149525,68.73758571688774,5.326124315068404,52.583798750043805,Africa,3.6358230986812585,0
2024-01-28,2.562198914450093,-40.77527533180654,,388.1441447965232,South America,0.3356637554240297,0
2024-01-29,16.63462239516764,157.22279594522445,4.517600374566739,678.5424723977502,Asia,3.9294209605819335,1
2024-01-30,-81.63892571040041,-130.4924601074424,3.4863859370069448,366.645393074934,Europe,4.156910347169711,1
2024-01-31,19.358073342258905,-57.21611362190694,4.135836071907569,,,3.777459431350037,1
2024-02-01,-59.30565773628753,-139.14953235338794,,487.3283336002474,Asia,4.017731941505627,1
2024-02-02,-78.29071326264969,152.88970258028257,2.086360931778535,318.7242042726735,Asia,4.143150115794707,0
2024-02-03,80.79939670559997,135.8421672171532,2.696435843041497,439.66309797876033,,1.013384435261906,1
2024-02-04,83.81376595342067,-87.14101402254398,2.2760158521305165,409.4357040342471,,1.254889555718499,1
2024-02-05,55.51152266096301,57.59425657230446,2.244372813913821,,North America,3.2054169622288686,1
2024-02-06,-35.16952154879328,114.19999207243768,7.132763504066043,32.76701985867905,Oceania,4.5485440392663286,0
2024-02-07,-72.4190194788509,19.87229217580645,6.221947156280142,197.39326952496896,Oceania,1.6493632532528235,0
2024-02-08,33.161944772188235,10.674208208162328,4.845042974523951,665.3376273695145,,2.982702711395778,1
2024-02-09,-10.77255112687176,-92.9331752758374,2.5870049639060086,623.2943849397506,North America,3.446612110743949,0
2024-02-10,-68.03311772793981,-146.4830035898763,4.949695250700994,319.50407019721337,Oceania,,1
2024-02-11,-0.8681561799713648,142.99767286319764,4.840830624683394,434.4726858632742,Europe,3.597534028791097,0
2024-02-12,-83.81006619926069,144.15050057879898,3.039211219460091,194.88944690381172,South America,4.508370481931649,0
2024-02-13,73.67767237418076,47.91652461837646,4.603109895427838,132.49669064690914,Europe,3.1580975664910045,0
2024-02-14,-43.41960331199695,-57.94927522246776,4.39102840638424,325.1251850530475,Oceania,2.7449272033817023,0
2024-02-15,29.25401118371676,-54.28455313944208,5.695100588313299,247.99320739021093,Africa,2.249848909402861,1
2024-02-16,-33.89200630390603,81.3440443932862,5.810561905205863,408.9756221837596,Africa,2.9296827274400163,1
2024-02-17,3.612243812005943,142.95969358292774,2.271824058632267,55.3365112385244,Africa,1.84127601391014,1
2024-02-18,8.407850281790331,139.35111273544226,4.247675687758827,682.1019705586504,Oceania,2.01826233998736,0
